vetted,party,vaadot,name,alias,gender,status,office_phone,office_phone_tel,facebook,fbmention,twitter,meme,email,web,text,link,text2,link2
t,meretz,"_vaadat_pnim,_vaada_meshutefet",תמר זנדברג,tzandberg,f,yes,02-675-8163,26758163,https://www.facebook.com/tamarzandberg,@tamarzandberg,tamarzandberg,,tzandberg@knesset.gov.il,,,,,
t,reshima-aravit,,תומא סולימן עאידה,tomasuliman,f,yes,,,,,,,aidat@knesset.gov.il,,,,,
t,yisrael-beitenu,,שרון גל,sgal,m,no,,,https://www.facebook.com/sharongal100,@sharongal100,,,sg100com@gmail.com,,,,,
t,hamahane-hazioni,,שלי יחימוביץ',syechimivich,f,yes,,,https://www.facebook.com/ShellyYachimovich,@ShellyYachimovich,Syechimovich,,syechimovich@knesset.gov.il,http://www.shelly.org.il/,"""זה חוק חשוך המקנה למדינה שליטה בלא מצרים על מאגר של טביעות אצבע, תמונות ונתונים אישיים של אזרחי המדינה, כאילו היו עבריינים מבוקשים""",http://www.nrg.co.il/online/1/ART2/324/377.html,חתומה על הצעת חוק לביטול המאגר,http://www.mako.co.il/nexter-archive/Article-5a73491c10e6631006.htm
t,yeshatid,,שי פירון,spiron,m,no,,,https://www.facebook.com/shay.piron,@shay.piron,shaypiron,,spiron@KNESSET.GOV.IL,,,,,
t,kulanu,"_vaadat_pnim,_vaada_meshutefet",רחל עזריה,racherazaria,f,no,,,https://www.facebook.com/rachel.azaria,@rachel.azaria,azariarachel,,rachela@knesset.gov.il,,,,,
t,kulanu,,רועי פולקמן,folkman,m,no,,,,,,,royf@knesset.gov.il,,,,,
t,hamahane-hazioni,"_vaadat_huka,_vaada_meshutefet",רויטל סוויד,revitalswid,f,yes,,,https://www.facebook.com/pages/%D7%A8%D7%95%D7%99%D7%98%D7%9C-%D7%A1%D7%95%D7%99%D7%93-%D7%A2%D7%95%D7%93-Revital-Swid/212547315512949,@רויטל-סויד-עוד-Revital-Swid,,,revitals@knesset.gov.il,,,,,
n,yisrael-beitenu,"_vaadat_pnim,_vaada_meshutefet",רוברט אילטוב,robertil,m,no,02-675-8154,26758154,,,,,rilatov@knesset.gov.il,,,,,
t,yeshatid,,קרין אלהרר,kelharrar,f,no,,,https://www.facebook.com/karine.elharrar,@karine.elharrar,KElharrar,,kelharar@KNESSET.GOV.IL,,,,,
t,hamahane-hazioni,"_vaadat_huka,_vaada_meshutefet",ציפי ליבני,zlivni,f,no,02-675-8458,26758458,https://www.facebook.com/tzipilivni,@tzipilivni,tzipi_livni,pic.twitter.com/RpiBLP7vxZ,zlivni@knesset.gov.il,,,,,
t,likud,,ציפי חוטובלי,tzipihotovely,f,no,02-675-8328,26758328,https://www.facebook.com/TzipiHotovely,@TzipiHotovely,,,zhotovely@knesset.gov.il,http://www.tzipi.org.il/,,,,
t,likud,_vaada_meshutefet,צחי הנגבי,tzhanegbi,m,,02-640-8350,26408350,https://www.facebook.com/Tzachi.Hanegbi,@Tzachi.Hanegbi,,,tzhanegbi@knesset.gov.il,,,,,
n,likud,"_vaadat_huka,_vaada_meshutefet",ענת ברקו,anatbarko,f,,,,,,,,anatb@knesset.gov.il,,,,,
t,hamahane-hazioni,,עמיר פרץ,aperetz,m,yes,02-675-8179,26758179,https://www.facebook.com/Peretz.Amir,@Peretz.Amir,amirperetz,,aperetz@knesset.gov.il,,,,,
t,yeshatid,,עליזה לביא,alizalavie,f,no,,,https://www.facebook.com/aliza.lavie,@aliza.lavie,aliza_lavie,,alavie@KNESSET.GOV.IL,http://www.alizalavie.com/hebrew/index.html,,,,
t,meretz,,עיסאווי פריג',ifrarig,m,yes,,,https://www.facebook.com/pages/%D7%A2%D7%99%D7%A1%D7%90%D7%95%D7%99-%D7%A4%D7%A8%D7%99%D7%92/166156570202888,@עיסאוי-פריג,,,ifarig@knesset.gov.il,,,,,
t,yeshatid,,עופר שלח,oshelach,m,no,,,https://www.facebook.com/OferYeshAtid,@OferYeshAtid,,,oshelach@KNESSET.GOV.IL,,,,,
t,hamahane-hazioni,,עומר בר-לב,obarlev,m,yes,,,https://www.facebook.com/barlev.omer,@barlev.omer,,,obarlev@knesset.gov.il,,,,,
n,reshima-aravit,,עבד אלחכים חאג׳ יחיא,abedelhaj,m,yes,,,,,,,abedh@knesset.gov.il,,,,,
t,hamahane-hazioni,,סתיו שפיר,sshaffir,f,yes,,,https://www.facebook.com/stavshaffir,@stavshaffir,stavshaffir,,sshaffir@knesset.gov.il,http://stavshaffir.co.il/,,,,
t,reshima-aravit,"_vaadat_huka,_vaada_meshutefet",סעדי אוסאמה,sosma,m,yes,,,,,,,osamas@KNESSET.GOV.IL,,,,,
t,likud,,סילבן שלום,sshalom,m,,02-675-8378,26758378,https://www.facebook.com/silvan.shalom.official,@silvan.shalom.official,silvanshalom,,sshalom@knesset.gov.il,http://www.silvan-shalom.co.il/,,,,
t,yisrael-beitenu,,סופה לנדבר,slandver,f,no,02-675-8181,26758181,https://www.facebook.com/sofa.landver,@sofa.landver,,,slandver@knesset.gov.il,,,,,
t,hamahane-hazioni,,סבטלוב קסניה,svetlovaksenia,f,yes,,,https://www.facebook.com/SvetlovaKsenia,@SvetlovaKsenia,,,ksenias@knesset.gov.il,,,,,
t,habait-hayehudi,,נפתלי בנט,nbenet,m,,02-640-8432,26408432,https://www.facebook.com/NaftaliBennett,@NaftaliBennett,naftalibennett,pic.twitter.com/M6Pw4g2iRV,nbenet@knesset.gov.il,,,,,
t,habait-hayehudi,,ניסן סלומינסקי,nissan,m,,,,https://www.facebook.com/NissanSlomiansky,@NissanSlomiansky,,,nissan@knesset.gov.il,,,,,
t,hamahane-hazioni,,נחמן שי,nshai,m,yes,02-675-8038,26758038,https://www.facebook.com/NachmanShai,@NachmanShai,,,nshai@knesset.gov.il,http://www.nachmanshai.co.il/,חתום על הצעת חוק לביטול המאגר,http://www.mako.co.il/nexter-archive/Article-5a73491c10e6631006.htm,,
n,likud,"_vaadat_huka,_vaada_meshutefet",נורית קורן,nuritkoren,f,,,,,,,,nkoren@knesset.gov.il,,,,,
n,likud,"_vaadat_pnim,_vaada_meshutefet",נאוה בוקר,navaboker,f,,,,,,,,nboker@knesset.gov.il,,,,,
